"StartDevice","EndDevice"
"cle30-0100-0002-01sw","ewr30-0100-0002-01sw"
"ibr01.kul01","ibr01.kul30"
"ibr01.pus01","ibr01.pus04"
"ier03.ash","icr01.bl20"
"ier02.bl32","icr02.bl20"
"ier02.par31","icr04.par30"
"ams30-0100-0001-01sw","ams30-0100-0002-01sw"
"cph31-0100-0001-01sw","ham30-0100-0001-01sw"
"icr01.dub07","db5-96cbe-1a"
"per30-0100-0002-01sw","syd23-0100-0002-01sw"
"ams04-96cbe-1b","icr02.ams21"
"ibr01.gru30","ibr01.rio30"
"lax31-0100-0001-01sw","by21-0100-0001-01sw"
"nyc30-0100-0001-01sw","yqb20-0100-0001-01sw"
"ch2-0100-0001-01sw","dsm05-0100-0001-01sw"
"dsm05-0100-0003-01sw","sn6-0100-0001-01sw"
"nyc30-0100-0001-01sw","yqb20-0100-0001-01sw"
"icr01.pus20","ibr01.pus20"
"atl30-0100-0002-01sw","ch2-0100-0002-01sw"
"ibr02.ber20","ibr02.mma01"
"cle30-0100-0001-01sw","yto30-0100-0001-01sw"
"zrh21-0100-0001-01sw","zrh20-0100-0001-01sw"
"sg3-0100-0001-01sw","sg3-0100-0002-01sw"
"ibr01.mrs20","ibr01.sg2"
"ter03.sel21","icr01.sel21"
"sn2-96c-gsgo-1b","sn2-96cb-1b"
"dal-96cbe-1a","icr01.sn1"
"cwl20-0100-0001-01sw","lon22-0100-0001-01sw"
"ibr01.dub07","ibr01.sxl71"
"ibr01.ams30","ibr01.lon22"
"icr01.dub07","dub07-0100-0002-01sw"
"ibr02.sn6","ibr04.cys04"
"icr08.dsm05","ibr03.dsm05"
"cph31-0100-0001-01sw","got30-0100-0001-01sw"
"mrs20-0100-0002-01sw","tls30-0100-0001-02sw"
"ibr02.par30","ibr02.bio70"
"icr02.bl7","ier04.bl31"
"ier01.sao31","ier02.sao31"
"ibr01.gvx11","ibr01.osl20"
"lon22-0100-0002-01sw","par30-0100-0002-01sw"
"ibr01.gru30","ibr01.rio30"
"ibr02.atl30","ibr02.atl31"
"icr05.cys04","cys04-0100-0002-01sw"
"ibr03.by21","ibr01.lax31"
"ibr01.for01","icr01.for01"
"gvx11-0100-0001-01sw","gvx01-0100-0001-01sw"
"ier02.cwl20","icr02.cwl20"
"cys01-96c-gsgo-1b","cys01-96cbe-1b"
"gvx11-0100-0001-01sw","rwa04.gvx11"
"ier01.mil30","rwa03.mil21"
"ibr03.ams06","ibr04.ams06"
"lax30-0100-0002-01sw","syd23-0100-0002-01sw"
"ibr01.dub07","ibr01.lon22"
"ibr02.ch2","ibr02.cle02"
"ibr01.dub08","ibr01.lon24"
"dub08-0100-0001-01sw","lon24-0100-0001-01sw"
"ier01.mil30","rwa01.mil01"
"maa01-96cbe-1a","maa01-96cbe-1b"
"ibr01.fll30","ibr01.mia"
"ibr01.gru30","ibr01.cpq20"
"ibr02.mrs20","ibr02.tls30"
"ibr01.pus04","ibr01.pus20"
"icr04.dub07","dub07-0100-0001-01sw"
"ibr02.mwh01","ibr02.pdx31"
"ibr02.gva20","ibr02.zrh20"
